date,site.ID,lat,lon,so.taken,cu.taken,pi.taken
2015-06-05,D09,50.30771,-125.32864,30,10,0
2015-06-07,D09,50.30812,-125.3269,30,10,1
2015-06-09,D09,50.30734,-125.33514,27,10,1
2015-06-11,D09,50.30806,-125.32972,30,10,1
2015-06-14,D09,50.30767,-125.33023,26,10,1
2015-06-15,D09,NA,NA,NA,NA,NA
2015-06-16,D09,NA,NA,NA,NA,NA
2015-06-18,D09,50.30819,-125.32694,30,10,NA
2015-06-20,D09,50.30597,-125.33588,30,10,0
2015-06-22,D09,50.30789,-125.3298,29,10,7
2015-06-24,D09,50.30698,-125.3259,30,5,0
2015-06-27,D09,50.30702,-125.33509,19,10,10
2015-06-29,D09,50.30764,-125.33348,8,10,2
2015-07-01,D09,NA,NA,NA,NA,NA
2015-07-02,D09,50.30377,-125.33768,30,10,7
2015-07-06,D09,50.30641,-125.31584,4,10,0
2015-07-07,D09,50.3079,-125.32955,5,10,10
2015-07-14,D09,50.30717,-125.33303,30,8,1
2016-05-07,D09,50.309111,-125.323871,NA,NA,NA
2016-05-15,D09,50.287179,-125.33416,0,0,0
2016-05-23,D09,50.30908,-125.325703,30,10,10
2016-05-27,D09,50.304166,-125.333511,0,0,0
2016-05-27,D09,50.304166,-125.333511,30,10,9
2016-06-01,D09,50.308769,-125.326765,30,10,3
2016-06-07,D09,50.30436,-125.332956,30,10,0
2016-06-14,D09,50.305971,-125.334369,0,0,0
2016-06-14,D09,50.305971,-125.334369,0,0,0
2016-06-14,D09,50.305971,-125.334369,0,0,0
2016-06-14,D09,50.307203,-125.332605,30,10,10
2016-06-21,D09,50.30661,-125.335266,14,10,10
2016-06-21,D09,50.30661,-125.335266,0,0,0
2016-06-29,D09,50.307068,-125.329361,0,0,0
2016-06-29,D09,50.307068,-125.329361,0,0,0
2016-07-06,D09,50.307066,-125.322977,8,10,10
2016-07-06,D09,50.304502,-125.336639,0,0,0
2015-05-23,D10,50.44365,-125.279,30,2,2
2015-05-26,D10,50.44466,-125.2804,30,5,0
2015-05-28,D10,50.44941,-125.33027,30,5,0
2015-06-01,D10,50.44527,-125.2774,30,0,0
2015-06-03,D10,50.44217,-125.27406,30,10,1
