date,site.ID,site.name,time,lat,lon,crew,net.sets,min.searching,dimpling,sliders,poppers,precip,wind.speed,wind.direction,cloud.cover,sea.state,secchi,temp.0m,salinity.0m,temp.1m,salinity.1m,so.taken,so.total,cu.taken,cu.total,he.taken,he.total,co.taken,co.total,pi.taken,pi.total,bycatch.spp.1,bycatch.num.1,bycatch.spp.2,bycatch.num.2,bycatch.spp.3,bycatch.num.3,mort.spp.1,mort.num.1,mort.spp.2,mort.num.2,mort.spp.3,mort.num.3,comments,preserved,initials
yyyy-mm-dd,D## OR J##,designated site name,"24 hrs
(hh:mm)",latitude in decimal degrees,longitude in decimal degrees (negative!),full names separated by commas,number of net deployments,number of minutes spent searching for fish,"dimpling activity
2015-05-27,J01,Hanson North,11:00,NA,NA,"Lauren Portner, Carson White, Dylan Smyth",0,90,1,1,1,none,0,S,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS
2015-05-27,J02,Swanson Island,09:30,NA,NA,"Lauren Portner, Carson White, Dylan Smyth",0,80,2,2,2,none,0.1-5,S,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS
2015-05-27,J09,Blinkhorn Peninsula,13:15,50.53957,-126.77810,"Lauren Portner, Carson White, Dylan Smyth",2,10,2,2,2,none,5-10,NW,100,1,12.2,11.1,28.4,10.9,28.5,30,2000,10,200,2,3,6,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,small hole in the bunt. Lots of fish escaped. May have been more herring and coho originally. School > 2000,1,DS
2015-05-27,J10,Hanson South,06:00,50.55951,-126.75326,"Lauren Portner, Carson White, Dylan Smyth",1,40,1,1,1,none,0.1-5,SW,100,0,12.2,9.8,28.7,9.8,28.7,30,100,10,30,0,0,10,20,0,0,NA,NA,NA,NA,NA,NA,Na,NA,NA,NA,NA,NA,NA,1,DS
2015-05-28,D09,Okisollo Channel,11:10,50.30884,-125.32275,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",1,10,0,1,1,none,NA,NA,0,1,14.3,12.6,28.7,11.7,28.8,30,200,10,10,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-28,D10,Hall Point,06:45,50.44941,-125.33027,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",1,28,1,1,1,none,0.1-5,NW,100,1,9.3,12.3,23.4,11.4,26.3,30,30,5,10,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-28,D11,Turn Island,09:55,NA,NA,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",1,33,0,1,1,none,5-10,W,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CO = 6 total, released",NA,"CK, LR"
2015-05-28,J01,Hanson North,05:35,50.57078,-126.70066,"Carson White, Lauren Portner, Katie Chan",3,70,2,1,1,none,0.1-5,NW,100,0,13.0,9.8,28.6,9.7,28.6,30,1000,10,200,1,10,2,10,0,0,NA,NA,NA,NA,NA,NA,chum,2,NA,NA,NA,NA,NA,1,CW
2015-05-28,J05,Stimpson Point,10:10,NA,NA,"Carson White, Lauren Portner, Katie Chan",0,60,0,0,1,none,10-15,NW,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish not at depth, close to beach",NA,CW
2015-05-28,J06,Blenkinsop Bay,12:00,NA,NA,"Carson White, Lauren Portner, Katie Chan",0,150,1,0,1,none,15-20,NW,25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish not at depth, close to beach",NA,CW
2015-05-29,J05,Stimpson Point,11:30,NA,NA,"Lauren Portner, Katie Chan, Dylan Smyth",1,150,0,2,1,none,15-20,NW,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one net set, no fish caught",NA,KC
2015-05-29,J06,Blenkinsop Bay,06:55,50.48380,-126.01069,"Lauren Portner, Katie Chan, Dylan Smyth",1,85,1,0,0,none,0.1-5,NW,100,0,5.5,10.9,28.1,10.5,28.2,30,40,10,200,6,10,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,KC
2015-05-30,D03,Sutil Narrows,18:45,NA,NA,"Luke Rogers, Kristi Inman, Donnah MacKinnon",0,25,0,0,0,none,0.1-5,SE,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CK, LR"
2015-05-30,D04,Fransisco Point,13:35,NA,NA,"Luke Rogers, Kristi Inman, Donnah MacKinnon",0,42,1,1,0,none,0.1-5,SE,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CK, LR"
2015-05-30,D06,Gowlland Harbour,10:19,50.10015,-125.27265,"Luke Rogers, Kristi Inman, Donnah MacKinnon",1,36,0,1,0,none,5-10,NW,0,2,13.2,11.2,28.7,11.1,28.8,30,40,10,200,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,sockeye,1,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-30,J04,Forward Bay,12:15,NA,NA,"Lauren Portner, Carson White, Dylan Smyth",0,120,0,0,0,none,10-15,NW,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,net not set because no fish,NA,DS
2015-05-30,J05,Stimpson Point,06:30,50.50733,-126.24336,"Lauren Portner, Carson White, Dylan Smyth",2,45,2,0,1,none,0.1-5,NW,100,0,11.1,9.8,28.5,9.8,28.6,30,300,10,300,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,DS
2015-05-30,J07,South Mouth,09:25,50.45679,-126.16458,"Lauren Portner, Carson White, Dylan Smyth",3,60,2,0,2,none,0.1-5,NA,100,1,10.3,10.1,28.4,10.0,28.6,30,600,10,400,5,5,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,DS
2015-05-30,J08,Naka Creek,15:05,50.48405,-126.39870,"Lauren Portner, Carson White, Dylan Smyth",1,5,0,0,2,none,10-15,NW,0,4,7.5,11.2,28.4,11.2,28.4,30,1000,10,300,10,20,1,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,DS
2015-05-31,D01,Hurtado Point,10:49,NA,NA,"Brett Johnson, Luke Rogers, Carolyn Knapper",1,16,1,0,0,none,0,NA,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CU = 6 total, released",NA,"CK, LR"
2015-05-31,D02,Kinghorn Island,09:32,50.06119,-124.87916,"Brett Johnson, Luke Rogers, Carolyn Knapper",1,22,1,1,1,none,0,NA,25,0,NA,18.0,23.7,17.7,24.0,0,0,0,10,0,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CK, LR"
2015-05-31,D03,Sutil Narrows,13:04,NA,NA,"Brett Johnson, Luke Rogers, Carolyn Knapper",1,30,1,1,0,none,0.1-5,NW,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bycatch 200 squuid,NA,"CK, LR"
2015-05-31,D04,Fransisco Point,12:18,NA,NA,"Brett Johnson, Luke Rogers, Carolyn Knapper",0,19,0,0,0,none,0.1-5,NW,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CK, LR"
2015-05-31,D05,Lewis Channel,08:47,NA,NA,"Brett Johnson, Luke Rogers, Carolyn Knapper",0,21,0,0,0,none,0,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CK, LR"
2015-05-31,D08,Calm Channel,06:25,50.31763,-125.04942,"Brett Johnson, Luke Rogers, Carolyn Knapper",1,5,1,1,1,none,0.1-5,NW,25,1,11.0,17.7,23.3,17.9,23.5,2,2,10,60,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salmon Farms: Raza Island 10 pens stocked.,1,"KI, LR"
2015-05-31,J03,Cracroft Point,09:45,50.54605,-126.66218,"Lauren Portner, Katie Chan, Carson White",1,30,2,0,2,none,0.1-5,NW,100,0,5.5,10.5,28.6,10.4,28.6,30,400,10,200,10,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,DS
2015-05-31,J04,Forward Bay,06:45,50.52152,-126.40028,"Lauren Portner, Katie Chan, Carson White",1,90,1,0,1,none,0.1-5,NW,100,0,8.1,10.0,28.6,9.9,28.6,30,100,10,200,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,DS
2015-05-31,J09,Blinkhorn Peninsula,12:30,50.53808,-126.77494,"Lauren Portner, Katie Chan, Carson White",1,15,2,0,2,none,0.1-5,NW,50,0,7.6,10.7,28.7,10.7,28.6,30,400,10,100,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,DS
2015-05-31,J10,Hanson South,15:05,NA,NA,"Lauren Portner, Katie Chan, Carson White",0,120,1,1,0,none,5-10,NW,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fish not at depth,NA,DS
2015-06-01,D09,Okisollo Channel,12:53,50.30492,-125.33058,"Carolyn Knapper, Brett Johnson, Luke Rogers",1,5,2,1,0,light,0,NA,100,0,12.5,11.7,28.6,11.3,28.8,30,500,10,100,3,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"BJ, LR"
2015-06-01,D10,Hall Point,06:34,50.44527,-125.27740,"Carolyn Knapper, Brett Johnson, Luke Rogers",1,4,0,1,1,none,0.1-5,NW,75,1,9.8,10.4,28.6,10.3,28.6,30,800,0,2,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,CK
2015-06-01,D11,Turn Island,09:32,50.34762,-125.45358,"Carolyn Knapper, Brett Johnson, Luke Rogers",3,35,0,2,1,none,0.1-5,W,75,2,12.6,11.1,28.9,10.9,29.0,30,100,10,200,1,1,1,1,1,1,chinook,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"BJ, LR"
2015-06-01,J01,Hanson North,07:40,50.57871,-126.72129,"Lauren Portner, Katie Chan, Dylan Smyth",1,110,2,1,2,none,0.1-5,NW,100,0,10.9,9.7,29.0,9.6,29.1,25,25,10,300,1,1,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,KC
2015-06-01,J02,Swanson Island,05:30,50.60051,-126.70319,"Lauren Portner, Katie Chan, Dylan Smyth",1,10,2,1,1,none,0,NA,100,1,6.1,10.0,28.8,9.9,28.9,30,400,5,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,KC
2015-06-01,J10,Hanson South,12:30,50.55853,-126.73145,"Lauren Portner, Katie Chan, Dylan Smyth",1,15,2,1,1,none,0.1-5,NW,100,0,9.1,11.1,28.6,10.7,28.6,30,300,10,100,0,0,4,4,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,KC
2015-06-02,J05,Stimpson Point,05:20,50.50763,-126.24218,"Carson White, Donnah MacKinnon, Lauren Portner",1,25,0,1,1,light,0-5,NW,100,1,12.1,9.8,28.7,9.8,28.8,30,200,10,600,0,0,3,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,DM
2015-06-02,J06,Blenkinsop Bay,11:00,NA,NA,"Carson White, Donnah MacKinnon, Lauren Portner",1,20,1,1,0,none,5-10,NW,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,snagged net on bottom- no fish. strong current dragged us into the shallows ,NA,DM
2015-06-02,J07,South Mouth,08:25,50.45649,-126.16619,"Carson White, Donnah MacKinnon, Lauren Portner",1,25,2,2,1,none,0.1-5,NW,100,1,11.7,9.9,28.7,9.9,28.7,30,500,10,500,5,5,0,0,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,DM
2015-06-03,D09,Okisollo Channel,13:11,50.30759,-125.32969,"Kristi Inman, Luke Rogers, Carolyn Knapper, Dylan Smyth",1,20,0,2,2,none,10-15,W,25,2,9.9,11.8,28.6,11.6,28.7,30,40,10,40,7,7,0,0,1,1,tidepool sculpin ,1,stickleback ,4,NA,NA,sockeye,1,NA,NA,NA,NA,Salmon Farms: Brent Island 12 pens stocked; Venture Point 12 pens stocked; Okisolo Channel nets in bags on walkways; Barnes Bay NA.,1,"KI, LR"
2015-06-03,D10,Hall Point,06:42,50.44217,-125.27406,"Kristi Inman, Luke Rogers, Carolyn Knapper, Dylan Smyth",3,56,2,2,2,none,0,NA,100,0,12.3,10.1,29.0,10.2,28.9,30,500,10,300,1,2,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"KI, LR"
2015-06-03,D11,Turn Island,10:21,50.34851,-125.44831,"Kristi Inman, Luke Rogers, Carolyn Knapper, Dylan Smyth",2,19,0,2,2,none,0.1-5,W,100,1,12.2,10.9,29.1,10.8,29.2,12,15,10,300,0,0,1,1,0,0,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Salmon Farms: North Nodales nets being delivered.,1,"KI, LR"
2015-06-03,J04,Forward Bay,12:32,NA,NA,"Sean Godwin, Mack Bartlett, Samantha Crowley",0,90,0,1,0,light,5-10,SW,75,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG
2015-06-03,J06,Blenkinsop Bay,06:15,50.48189,-126.01128,"Carson White, Katie Chan, Lauren Portner",1,75,2,1,0,none,5-10,NW,100,1,10.2,10.1,28.4,10.0,28.5,30,100,10,100,3,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-06-03,J08,Naka Creek,10:15,50.48072,-126.40915,"Sean Godwin, Mack Bartlett, Samantha Crowley",1,0,2,2,1,none,0.1-5,NW,75,1,10.7,10.1,28.6,10.1,28.6,30,15000,10,2000,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"could not find herring again because too many fish; unsure of herring, pink, and coho numbers because too many fish",1,SG
2015-06-03,J09,Blinkhorn Peninsula,14:55,50.53944,-126.78254,"Sean Godwin, Mack Bartlett, Samantha Crowley",1,1,1,2,2,none,0.1-5,W,75,1,9.6,11.3,28.3,10.9,28.6,30,100,10,200,5,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-06-04,D02,Kinghorn Island,10:11,NA,NA,"Luke Rogers, Carolyn Knapper, Brett Johnson, Dylan Smyth",0,12,0,0,0,none,0.1-5,NW,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BJ
2015-06-04,D05,Lewis Channel,09:28,NA,NA,"Carolyn Knapper, Brett Johnson, Luke Rogers, Dylan Smyth",0,16,0,0,0,none,0.1-5,NW,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BJ
2015-06-04,D06,Gowlland Harbour,11:32,50.07966,-125.24845,"Luke Rogers, Carolyn Knapper, Brett Johnson, Dylan Smyth",2,27,2,1,1,none,0,NA,0,0,10.8,12.4,28.1,12.1,28.2,15,40,3,20,0,0,0,0,4,20,stickleback,400,sculpin,2,NA,NA,NA,NA,NA,NA,NA,NA,"Sighted outside of sets: 10,000 herring 30-40 mm length.",1,"BJ, LR"
2015-06-04,D08,Calm Channel,06:23,50.31954,-125.04247,"Carolyn Knapper, Brett Johnson, Luke Rogers, Dylan Smyth",1,13,0,1,1,none,0,NA,0,1,11.5,17.2,16.4,16.3,17.2,29,60,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salmon Farms: Raza Island 10 pens stocked. Sockeye miscount: new convention two independent counts of fish taken prior to net release.,1,BJ
2015-06-04,D12,Hyacinthe Bay,14:20,NA,NA,"Carolyn Knapper, Brett Johnson, Luke Rogers, Dylan Smyth",0,20,0,1,1,none,0.1-5,SE,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BJ
2015-06-04,J02,Swanson Island,13:40,50.59560,-126.69022,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",3,50,2,2,1,none,0.1-5,NW,0,1,16.2,11.3,29.4,9.9,29.2,30,300,10,300,0,0,6,6,1,1,juvenile chinook,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CO-03, CO-05, CO-06 did not have white-tipped anal fin. Probably a chinook, but no black gums. Not chum, pink or sockeye. Check species ID in lab.",1,MB
2015-06-04,J03,Cracroft Point,10:00,50.54216,-126.63511,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",1,50,1,1,0,none,0.1-5,SW,25,1,10.8,10.7,28.7,10.5,28.7,30,200,10,300,10,15,0,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31 Sockeye taken by accident. One possibly without label,1,MB
2015-06-04,J04,Forward Bay,06:30,50.52232,-126.39556,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",1,30,1,1,1,none,0.1-5,SW,50,1,10.6,10.3,28.0,10.2,28.2,30,300,10,500,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,chum,4,NA,NA,NA,NA,"labeled CU5 is actually CU4; CU6 is CU5; CU7 is CU6; CU8 is CU7; CU9 is CU8, CU10 is CU9, CU4 is CU10",1,MB
2015-06-05,D07,Hoskyn Channel,14:00,50.19112,-125.14202,"Luke Rogers, Brett Johnson, Kristi Inman",1,9,0,1,1,none,0.1-5,SE,75,1,14.9,18.4,25.4,18.0,25.4,13,13,10,100,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,chum,1,NA,NA,NA,NA,NA,1,LR
2015-06-05,D09,Okisollo Channel,10:59,50.30771,-125.32864,"Luke Rogers, Brett Johnson, Kristi Inman",1,15,1,1,1,none,0,NA,0,0,13.3,11.9,28.4,11.7,28.4,30,100,10,200,1,1,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salmon Farms: Brent Island 12 pens stocked; Venture Point 12 pens stocked; Okisolo Channel NA; Barnes Bay NA.,1,LR
2015-06-05,D10,Hall Point,07:00,50.44342,-125.27904,"Luke Rogers, Brett Johnson, Kristi Inman",1,19,0,0,0,none,0.1-5,N,25,1,13.2,10.6,28.4,10.7,28.4,22,25,10,600,1,3,0,0,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,LR
2015-06-05,D11,Turn Island,10:13,NA,NA,"Luke Rogers, Brett Johnson, Kristi Inman",0,15,0,1,1,none,5-10,NW,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LR
2015-06-05,J01,Hanson North,08:20,50.56784,-126.69728,"Sean Godwin, Samantha Crowley, Donnah MacKinnon",1,2,2,1,1,none,0.1-5,NE,25,1,14.0,10.1,29.0,9.9,28.8,30,1000,10,400,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,MB
2015-06-05,J10,Hanson South,05:25,50.55855,-126.73248,"Sean Godwin, Samantha Crowley, Donnah MacKinnon",1,5,2,1,0,none,0.1-5,SW,25,1,13.4,9.9,28.7,10.0,28.7,30,300,10,200,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,MB
2015-06-06,D02,Kinghorn Island,12:28,NA,NA,"Luke Rogers, Kristi Inman, Dylan Smyth, Midoli Bresch",0,10,0,0,0,none,0.1-5,S,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LR
2015-06-06,D03,Sutil Narrows,13:36,NA,NA,"Luke Rogers, Kristi Inman, Dylan Smyth, Midoli Bresch",0,16,0,1,1,none,0.1-5,NW,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LR
2015-06-06,D05,Lewis Channel,11:47,NA,NA,"Luke Rogers, Kristi Inman, Dylan Smyth, Midoli Bresch",0,14,0,0,0,none,0.1-5,NW,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LR
2015-06-06,D08,Calm Channel,10:06,NA,NA,"Luke Rogers, Kristi Inman, Dylan Smyth, Midoli Bresch",1,22,0,0,1,none,0.1-5,NW,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CU = 100 total, CO = 1 total, released",NA,LR
2015-06-06,J05,Stimpson Point,05:40,NA,NA,"Sean Godwin, Mack Bartlett, Samantha Crowley",0,15,0,0,0,none,5-10,SW,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC
2015-06-06,J06,Blenkinsop Bay,08:25,NA,NA,"Sean Godwin, Mack Bartlett, Samantha Crowley",1,10,2,1,1,none,10-15,NW,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC
2015-06-06,J07,South Mouth,06:20,50.45987,-126.16961,"Sean Godwin, Mack Bartlett, Samantha Crowley",1,20,1,1,1,none,5-10,N,100,2,13.6,10.0,28.7,9.9,28.7,30,100,10,100,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,sockeye,1,NA,NA,NA,NA,Ipad forms won't open- error message (note after data entry: ipad form fixed and submitted),1,SC
2015-06-07,D07,Hoskyn Channel,14:13,50.19150,-125.14292,"Luke Rogers, Brett Johnson, Dylan Smyth, Midoli Bresch",2,17,0,2,1,none,0.1-5,E,0,1,13.9,16.8,26.6,16.5,26.8,30,30,10,70,0,0,0,0,6,6,chinook,2,NA,NA,NA,NA,sockeye,1,chinook,1,NA,NA,NA,1,LR
2015-06-07,D09,Okisollo Channel,10:51,50.30812,-125.32690,"Luke Rogers, Brett Johnson, Dylan Smyth, Midoli Bresch",1,5,0,2,1,none,5-10,W,0,2,16.2,11.7,28.5,11.7,28.6,30,40,10,10,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salmon Farms: Brent Island 12 pens stocked; Venture Point 12 pens stocked; Okisolo Channel nets in bags on walkways; Barnes Bay NA.,1,LR
2015-06-07,J04,Forward Bay,09:40,NA,NA,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",0,30,0,0,0,none,5-10,SW,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,net not set due to poor weather and lack of fish,NA,SG
2015-06-07,J04,Forward Bay,13:30,NA,NA,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",0,20,0,0,0,none,0.1-5,SW,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG
2015-06-07,J05,Stimpson Point,07:45,50.49983,-126.20581,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",1,10,1,0,0,none,0.1-5,SW,0,1,13.4,9.9,28.7,9.9,28.7,30,300,10,300,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-06-07,J06,Blenkinsop Bay,05:05,50.47794,-126.02803,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",1,5,1,0,1,none,5-10,SW,0,2,12.2,9.9,28.5,9.8,28.6,30,100,10,200,2,2,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CO-03 might be a chinook, make sure to check ID in lab",1,SG
2015-06-07,J08,Naka Creek,11:00,50.47923,-126.41485,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",2,1,2,2,1,none,5-10,SW,0,2,11.8,10.8,10.7,28.5,28.5,30,200,10,4000,0,1,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Too many fish to say that there wer no other herring, coho, or pink. Definitely missed one herring that could not be found again in net.",1,SG
2015-06-07,J09,Blinkhorn Peninsula,14:35,50.53900,-126.77810,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",1,1,1,1,1,none,0.1-5,SW,0,1,13.9,12.0,28.7,11.3,28.7,29,400,10,600,0,0,1,1,10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SG
2015-06-08,J01,Hanson North,13:34,50.57687,-126.72184,"Lauren Portner, Chris Guinchard, Stephanie Peacock",1,30,1,2,1,none,0.1-5,NW,100,1,9.3,11.4,29.2,11.0,29.3,30,200,10,300,0,0,3,3,10,30,perch,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,LP
